"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
1,"Basic Materials",8.87%,9.00%,0.16%,4.19%,39.22%,16.59%,652151.63,1.24,2.71%,806348086.00
2,"Communication Services",1.18%,-1.73%,-8.17%,0.24%,15.36%,0.32%,744079.82,1.04,-0.23%,774532675.00
3,"Consumer Cyclical",2.70%,2.99%,-0.82%,1.36%,6.39%,-0.75%,1173536.47,0.97,1.35%,1136518712.00
4,"Consumer Defensive",0.02%,2.13%,-0.90%,-3.31%,5.35%,8.34%,483894.30,0.95,0.10%,459693221.00
5,"Energy",-3.66%,4.99%,1.12%,13.14%,34.16%,28.61%,646373.63,0.84,-1.09%,546029681.00
6,"Financial",1.17%,3.52%,11.69%,9.24%,17.35%,8.44%,1483383.99,0.87,-0.16%,1296863181.00
7,"Healthcare",2.24%,0.87%,12.64%,7.42%,28.18%,7.37%,1400609.95,0.98,1.14%,1379261603.00
8,"Industrials",5.39%,-0.01%,1.63%,6.65%,20.67%,16.32%,1426115.83,1.08,1.89%,1539267138.00
9,"Real Estate",-0.26%,1.29%,2.10%,7.84%,9.24%,10.99%,444203.20,0.88,0.55%,390057372.00
10,"Technology",6.92%,2.48%,8.88%,32.13%,34.11%,24.60%,3201461.23,0.84,1.22%,2702739042.00
11,"Utilities",-1.23%,-3.19%,-4.84%,-0.30%,4.97%,2.40%,256003.73,1.03,0.54%,263286727.00
