anl_datum,group,name,perf_week,perf_month,perf_quart,perf_half,perf_year,perf_ytd,recom,avg_volume,rel_volume,change,volume
"2026-08-07 22:15:01.000",sector,"Basic Materials",8.87,9.00,0.16,4.19,39.22,16.59,0,652151.63,1.24,2.71,806348086.00
"2026-08-07 22:15:01.000",sector,"Communication Services",1.18,-1.73,-8.17,0.24,15.36,0.32,0,744079.82,1.04,-0.23,774532675.00
"2026-08-07 22:15:01.000",sector,"Consumer Cyclical",2.70,2.99,-0.82,1.36,6.39,-0.75,0,1173536.47,0.97,1.35,1136518712.00
"2026-08-07 22:15:01.000",sector,"Consumer Defensive",0.02,2.13,-0.90,-3.31,5.35,8.34,0,483894.30,0.95,0.10,459693221.00
"2026-08-07 22:15:01.000",sector,"Energy",-3.66,4.99,1.12,13.14,34.16,28.61,0,646373.63,0.84,-1.09,546029681.00
"2026-08-07 22:15:01.000",sector,"Financial",1.17,3.52,11.69,9.24,17.35,8.44,0,1483383.99,0.87,-0.16,1296863181.00
"2026-08-07 22:15:01.000",sector,"Healthcare",2.24,0.87,12.64,7.42,28.18,7.37,0,1400609.95,0.98,1.14,1379261603.00
"2026-08-07 22:15:01.000",sector,"Industrials",5.39,-0.01,1.63,6.65,20.67,16.32,0,1426115.83,1.08,1.89,1539267138.00
"2026-08-07 22:15:01.000",sector,"Real Estate",-0.26,1.29,2.10,7.84,9.24,10.99,0,444203.20,0.88,0.55,390057372.00
"2026-08-07 22:15:01.000",sector,"Technology",6.92,2.48,8.88,32.13,34.11,24.60,0,3201461.23,0.84,1.22,2702739042.00
"2026-08-07 22:15:01.000",sector,"Utilities",-1.23,-3.19,-4.84,-0.30,4.97,2.40,0,256003.73,1.03,0.54,263286727.00
