"No.","Name","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (Year To Date)","Average Volume","Relative Volume","Change","Volume"
1,"Advertising Agencies",-10.06%,-23.73%,-18.18%,-8.11%,-26.03%,-40.15%,65158.82,1.47,-1.86%,95919073.00
2,"Aerospace & Defense",7.32%,1.11%,1.00%,-4.40%,12.51%,4.95%,374762.12,1.30,1.47%,487907376.00
3,"Agricultural Inputs",1.19%,-3.16%,-3.51%,2.85%,6.89%,13.50%,26988.23,0.91,1.49%,24614353.00
4,"Airlines",-3.33%,-3.45%,13.65%,-2.68%,29.80%,5.90%,170222.40,0.49,-3.50%,84001366.00
5,"Airports & Air Services",3.11%,-0.71%,-11.14%,-20.87%,-22.68%,-19.14%,41387.20,1.02,-0.91%,42325498.00
6,"Aluminum",12.97%,8.18%,-14.12%,-2.33%,95.45%,15.52%,9996.39,0.85,1.90%,8506071.00
7,"Apparel Manufacturing",1.35%,1.48%,0.63%,0.89%,26.54%,8.20%,36954.34,1.10,0.24%,40708918.00
8,"Apparel Retail",1.46%,8.98%,8.26%,7.06%,27.52%,8.65%,39136.23,0.83,-0.50%,32368772.00
9,"Asset Management",2.17%,8.06%,6.08%,6.29%,-1.43%,1.54%,169835.52,0.88,0.90%,150225154.00
10,"Auto & Truck Dealerships",2.57%,7.36%,2.52%,-4.34%,-12.61%,-5.08%,43685.19,0.74,1.53%,32535407.00
11,"Auto Manufacturers",2.20%,-12.68%,-16.33%,-17.06%,2.57%,-21.62%,251312.35,0.62,0.37%,156984238.00
12,"Auto Parts",2.27%,2.15%,-4.04%,-6.04%,-2.10%,3.72%,131018.98,0.75,-0.96%,98266093.00
13,"Banks - Diversified",0.56%,3.68%,17.96%,14.19%,44.03%,19.48%,114223.92,0.73,0.13%,83118166.00
14,"Banks - Regional",-0.87%,0.50%,10.17%,-1.00%,21.16%,9.82%,392281.11,0.71,-0.57%,277385588.00
15,"Beverages - Brewers",-1.58%,1.41%,-0.99%,2.94%,23.26%,21.04%,35948.34,1.17,-1.26%,42067235.00
16,"Beverages - Non-Alcoholic",-0.94%,0.66%,3.07%,-0.03%,13.28%,12.97%,66244.26,1.04,-0.55%,68776284.00
17,"Beverages - Wineries & Distilleries",7.93%,15.82%,11.36%,-1.21%,-11.00%,10.85%,8653.44,0.73,0.39%,6345030.00
18,"Biotechnology",7.49%,2.08%,14.24%,15.51%,49.91%,17.16%,648721.46,1.00,1.07%,650942007.00
19,"Broadcasting",1.84%,7.05%,-7.28%,-11.49%,-13.05%,-14.77%,19208.31,3.21,-1.50%,61672645.00
20,"Building Materials",-0.33%,-3.30%,-5.53%,-14.26%,-1.32%,-8.21%,25873.12,1.25,-0.08%,32254070.00
21,"Building Products & Equipment",2.06%,-1.34%,1.16%,-0.92%,6.74%,15.99%,44200.12,0.87,-1.64%,38571340.00
22,"Business Equipment & Supplies",1.74%,9.79%,7.95%,14.85%,9.29%,24.95%,13652.31,0.22,-0.80%,2941580.00
23,"Capital Markets",0.62%,-2.17%,6.72%,9.00%,19.52%,9.97%,432514.25,0.75,-0.37%,325670128.00
24,"Chemicals",1.68%,1.50%,-18.43%,-6.22%,27.25%,22.26%,37039.11,0.74,2.85%,27554402.00
25,"Coking Coal",15.76%,11.94%,0.66%,-7.28%,26.95%,-4.83%,4514.32,0.76,2.49%,3430956.00
26,"Communication Equipment",5.12%,-0.62%,8.56%,35.64%,82.93%,53.51%,343054.90,0.75,-0.65%,256559560.00
27,"Computer Hardware",-1.29%,-12.32%,7.91%,70.87%,155.52%,115.73%,298701.22,1.40,0.85%,417890652.00
28,"Confectioners",0.46%,4.71%,-0.54%,-4.66%,-1.75%,10.39%,11433.97,0.69,-1.22%,7867359.00
29,"Conglomerates",0.18%,7.84%,13.06%,-0.28%,16.67%,12.66%,19211.56,0.88,-0.84%,16970716.00
30,"Consulting Services",-0.13%,6.51%,4.29%,-5.97%,-26.77%,-16.15%,13201.39,0.65,-2.12%,8540890.00
31,"Consumer Electronics",1.71%,-1.81%,5.41%,10.68%,37.97%,12.59%,73666.89,0.76,-1.52%,55962375.00
32,"Copper",9.82%,14.78%,10.18%,8.26%,98.92%,40.01%,33431.59,1.01,0.90%,33785842.00
33,"Credit Services",-1.09%,3.89%,12.83%,4.47%,4.58%,-1.93%,165447.71,0.65,-0.21%,106971868.00
34,"Department Stores",-0.96%,15.04%,20.53%,1.49%,65.88%,5.87%,11281.03,0.79,0.58%,8886784.00
35,"Diagnostics & Research",5.41%,10.11%,29.49%,12.57%,30.91%,7.24%,76263.15,0.67,1.32%,51454503.00
36,"Discount Stores",0.96%,1.13%,-8.96%,-9.75%,6.40%,5.38%,42786.82,0.82,0.55%,35002168.00
37,"Drug Manufacturers - General",4.65%,2.93%,15.73%,5.24%,43.68%,12.90%,122617.20,0.93,1.59%,114468886.00
38,"Drug Manufacturers - Specialty & Generic",0.60%,1.27%,0.10%,-6.09%,13.60%,0.25%,140480.29,0.99,0.31%,138689734.00
