anl_datum,group,name,perf_week,perf_month,perf_quart,perf_half,perf_year,perf_ytd,recom,avg_volume,rel_volume,change,volume
"2026-08-10 22:15:01.000",sector,"Basic Materials",8.27,8.71,-0.86,1.75,38.65,17.25,0,653281.10,1.10,0.58,716475117.00
"2026-08-10 22:15:01.000",sector,"Communication Services",-1.96,-1.82,-7.53,1.90,16.08,0.93,0,745018.73,0.90,0.63,672145552.00
"2026-08-10 22:15:01.000",sector,"Consumer Cyclical",0.57,2.96,-0.96,1.33,6.42,-0.51,0,1168961.61,0.92,0.24,1073677563.00
"2026-08-10 22:15:01.000",sector,"Consumer Defensive",0.02,0.81,-1.41,-5.16,4.21,7.89,0,484001.34,1.11,-0.41,538100689.00
"2026-08-10 22:15:01.000",sector,"Energy",1.15,8.21,5.38,15.11,39.70,33.23,0,646705.23,0.97,3.60,627716757.00
"2026-08-10 22:15:01.000",sector,"Financial",0.47,3.23,11.85,6.94,18.02,8.39,0,1477956.62,0.77,0.11,1140613236.00
"2026-08-10 22:15:01.000",sector,"Healthcare",3.92,3.32,14.89,6.62,30.74,8.77,0,1396723.79,0.99,1.30,1377272516.00
"2026-08-10 22:15:01.000",sector,"Industrials",2.69,0.17,1.49,3.10,20.81,15.98,0,1427459.25,0.99,-0.17,1406614488.00
"2026-08-10 22:15:01.000",sector,"Real Estate",-1.80,-0.32,0.44,4.79,7.47,9.52,0,444574.61,0.93,-1.33,412292811.00
"2026-08-10 22:15:01.000",sector,"Technology",4.27,1.24,5.46,25.49,32.15,23.46,0,3205558.59,0.88,-0.93,2819529622.00
"2026-08-10 22:15:01.000",sector,"Utilities",-2.53,-5.23,-5.45,-2.26,2.17,0.94,0,253231.04,0.97,-1.29,245896566.00
