anl_datum,no,ticker,company,index,sector,industry,country,market_cap,p_e,fwd_p_e,peg,p_s,p_b,p_c,p_fcf,book_sh,cash_sh,dividend,dividend_percent,payout_ratio,eps,eps_next_q,eps_this_y,eps_next_y,eps_past_5y,eps_next_5y,sales_past_5y,sales_q_q,eps_q_q,sales,income,outstanding,float,float_percent,insider_own,insider_trans,inst_own,inst_trans,float_short,short_ratio,short_interest,roa,roe,roi,curr_r,quick_r,ltdebt_eq,debt_eq,gross_m,oper_m,profit_m,perf_week,perf_month,perf_quart,perf_half,perf_year,perf_ytd,beta,atr,volatility_w,volatility_m,sma20,sma50,sma200,_50d_high,_50d_low,_52w_high,_52w_low,rsi,earnings,ipo_date,optionable,shortable,employees,from_open,gap,recom,avg_volume,rel_volume,volume,target_price,prev_close,price,change,ah_close,ah_change
"2026-08-10 22:15:01.000",1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA",42003.28,29.87,22.53,2.40,5.81,5.89,0,0,25.24,6.40,1.02,1.02,21.70,4.98,1.49,0,0,0,0,0,0,0,7232.00,1414.00,0,99.74,0,0,0,0,0,2.68,3.22,7.54,0,0,0,0,0,0,0,52.79,0,19.55,6.38,10.75,28.63,14.77,29.75,9.30,1.23,0,0,0,0,0,0,0,0,0,0,0,"","11/18/1999","Yes","Yes",18100,0,0.20,0,0,0,1751923,159.33,145.97,148.72,1.88,0,0
"2026-08-10 22:15:01.000",2,"AA","Alcoa Corp","","Basic Materials","Aluminum","USA",13625.65,10.59,8.33,0.43,0.99,1.85,0,0,27.93,5.71,0.40,0.40,9.02,4.88,1.58,0,0,0,0,0,0,0,13820.00,1290.00,0,99.45,0,0,0,0,0,3.42,1.61,8.98,0,0,0,0,0,0,0,14.20,0,9.33,15.14,6.06,-18.28,-12.73,71.13,-2.84,1.63,0,0,0,0,0,0,0,0,0,0,0,"","10/18/2016","Yes","Yes",14900,0,1.04,0,0,0,5214445,66.47,50.17,51.63,2.91,0,0
"2026-08-10 22:15:01.000",3,"AAA","Alternative Access First Priority CLO Bond ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,1.20,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.01,0,0,0,0,0,0,0,0,0,0,-0.12,-0.06,-0.04,-0.30,-0.20,-0.26,0.03,0,0,0,0,0,0,0,0,0,0,0,"","9/9/2020","No","Yes",0,0,-0.06,0,0,0,3008,0,24.98,24.93,-0.16,0,0
"2026-08-10 22:15:01.000",4,"AAAA","Amplius Aggressive Asset Allocation ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,0.39,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.01,0,0,0,0,0,0,0,0,0,0,1.79,1.39,2.52,9.99,20.40,12.88,0.89,0,0,0,0,0,0,0,0,0,0,0,"","7/16/2025","No","Yes",0,0,-0.06,0,0,0,5208,0,30.90,30.86,-0.12,0,0
"2026-08-10 22:15:01.000",5,"AAAC","Columbia AAA CLO ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.15,0.20,0.15,0.05,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0,"","12/11/2025","No","No",0,0,0.00,0,0,0,12,0,20.08,20.08,0.00,0,0
"2026-08-10 22:15:01.000",6,"AAAD","PGIM AAA CLO Aggregate Duration ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,0.40,0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.00,0,0,0,0,0,0,0,0,0,0,0.02,-1.06,0,0,0,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,"","6/3/2026","No","No",0,0,-0.22,0,0,0,210,0,49.56,49.44,-0.25,0,0
"2026-08-10 22:15:01.000",7,"AAAP","Pacer Barings CLO Market Flex ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.16,0.40,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,"","6/23/2026","No","No",0,0,0.10,0,0,0,485,0,25.33,25.33,0.00,0,0
"2026-08-10 22:15:01.000",8,"AAAU","Goldman Sachs Physical Gold ETF","","Financial","Exchange Traded Fund","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.45,0,0,0,0,0,0,0,0,0,0,8.31,6.84,-7.14,-11.46,28.93,1.69,0.19,0,0,0,0,0,0,0,0,0,0,0,"","8/15/2018","Yes","Yes",0,0,-0.16,0,0,0,1216434,0,42.81,43.27,1.07,0,0
"2026-08-10 22:15:01.000",9,"AAC-U","Ares Acquisition Corp III","","Financial","Shell Companies","USA",400.33,0,0,0,0,67933.33,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.69,0,0,0,0,0,0,0,0,0,0,-0.10,1.19,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,"","6/30/2026","No","Yes",0,0,-0.67,0,0,0,137,0,10.19,10.19,0.00,0,0
"2026-08-10 22:15:01.000",10,"AACB","Artius II Acquisition Inc","","Financial","Shell Companies","USA",292.53,74.86,0,0,0,1.36,0,0,7.77,0.00,0,0,0.00,0.14,0,0,0,0,0,0,0,0,0.00,3.91,0,99.23,0,0,0,0,0,0.01,0.07,0.00,0,0,0,0,0,0,0,0,0,0,0.28,0.57,1.83,2.32,4.55,2.62,0.05,0,0,0,0,0,0,0,0,0,0,0,"","4/7/2025","No","Yes",1,0,0.14,0,0,0,50215,0,10.56,10.57,0.09,0,0
